Material;Material desc;Grupo art. Desc;Jerar;NEGOCIO desc;Tipo producto;Familia
157967;FLEXIBLE EMSESA F797TCJCJC121212-1400-0;FLEXIBLES OEM;"	PARKER INDUSTRIAL";EMSESA;MANGUERAS HIDRAULICAS;FLEXIBLES
157968;FLEXIBLE EMSESA F797TC15JC161616-295-0;FLEXIBLES OEM;"	PARKER INDUSTRIAL";EMSESA;MANGUERAS HIDRAULICAS;FLEXIBLES
157969;FLEXIBLE EMSESA F797TCCACF222212-1200-0;FLEXIBLES OEM;"	PARKER INDUSTRIAL";EMSESA;MANGUERAS HIDRAULICAS;FLEXIBLES
157972;ACOPLE GENERICO 18943-24-32 E:150MM;ACOPLES SEGURO;"	MANGUERAS HIDRAULICAS";EMSESA;;
157997;FLEXIBLE EMSESA 07119-02013;FLEXIBLES OEM;"	PARKER INDUSTRIAL";EMSESA;MANGUERAS HIDRAULICAS;FLEXIBLES
157998;FLEXIBLE EMSESA 561-61-84760;FLEXIBLES OEM;"	PARKER INDUSTRIAL";EMSESA;MANGUERAS HIDRAULICAS;FLEXIBLES
158005;ADAPTSDOR PARKER 12M27V87OMLOS;ADAPTADORES;"	PARKER INDUSTRIAL";EMSESA;;
158006;ADAPTADOR PARKER 12M27C87OMLOS;ADAPTADORES;"	PARKER INDUSTRIAL";EMSESA;;
158007;ADAPTADOR PARKER 12WJJMLOS;ADAPTADORES;"	PARKER INDUSTRIAL";EMSESA;;
158008;ADAPTADOR PARKER 12M27R87OMLOS;ADAPTADORES;"	PARKER INDUSTRIAL";EMSESA;;
158039;PLANCHA GRUESA ASTM A36 50X2440 NCH203;PLANCHA GRUESA;"	PLANC.GRUESA";ACERO;;
158040;CALZADO CABOS (ST);CABOS ESPECIALES;"	CABOS SINTÉTICOS";MANEJO DE CARGA;;
158061;ALTAIR ESTANDAR H2S 10071362;ACCESORIOS PROTECCION PASIVA;"	PROTECCION PASIVA";SEGURIDAD INDUSTRIAL;;
158065;FLEXIBLE EMSESA F302063916161647;FLEXIBLES OEM;"	PARKER INDUSTRIAL";EMSESA;MANGUERAS HIDRAULICAS;FLEXIBLES
158066;FLEXIBLE EMSESA F302063920202039;FLEXIBLES OEM;"	PARKER INDUSTRIAL";EMSESA;MANGUERAS HIDRAULICAS;FLEXIBLES
158067;FLEXIBLE EMSESA F787060608080898;FLEXIBLES OEM;"	PARKER INDUSTRIAL";EMSESA;MANGUERAS HIDRAULICAS;FLEXIBLES
158068;FLEXIBLE EMSESA F302060604060439;FLEXIBLES OEM;"	PARKER INDUSTRIAL";EMSESA;MANGUERAS HIDRAULICAS;FLEXIBLES
158069;FLEXIBLE EMSESA F302063916161671;FLEXIBLES OEM;"	PARKER INDUSTRIAL";EMSESA;MANGUERAS HIDRAULICAS;FLEXIBLES
158070;FLEXIBLE EMSESA F302063916161667;FLEXIBLES OEM;"	PARKER INDUSTRIAL";EMSESA;MANGUERAS HIDRAULICAS;FLEXIBLES
158071;FLEXIBLE EMSESA F302063920202059;FLEXIBLES OEM;"	PARKER INDUSTRIAL";EMSESA;MANGUERAS HIDRAULICAS;FLEXIBLES
158072;FLEXIBLE EMSESA F302060604040431;FLEXIBLES OEM;"	PARKER INDUSTRIAL";EMSESA;MANGUERAS HIDRAULICAS;FLEXIBLES
158073;FLEXIBLE EMSESA F302063904040433;FLEXIBLES OEM;"	PARKER INDUSTRIAL";EMSESA;MANGUERAS HIDRAULICAS;FLEXIBLES
158074;FLEXIBLE EMSESA F302063906060639;FLEXIBLES OEM;"	PARKER INDUSTRIAL";EMSESA;MANGUERAS HIDRAULICAS;FLEXIBLES
158075;FLEXIBLE EMSESA F7976A6N202039181;FLEXIBLES OEM;"	PARKER INDUSTRIAL";EMSESA;MANGUERAS HIDRAULICAS;FLEXIBLES
158076;FLEXIBLE EMSESA F3020606080808116;FLEXIBLES OEM;"	PARKER INDUSTRIAL";EMSESA;MANGUERAS HIDRAULICAS;FLEXIBLES
158077;FLEXIBLE EMSESA F787063910101026;FLEXIBLES OEM;"	PARKER INDUSTRIAL";EMSESA;MANGUERAS HIDRAULICAS;FLEXIBLES
158078;FLEXIBLE EMSESA F3020606202020256;FLEXIBLES OEM;"	PARKER INDUSTRIAL";EMSESA;MANGUERAS HIDRAULICAS;FLEXIBLES
158079;FLEXIBLE EMSESA F3020606202020209;FLEXIBLES OEM;"	PARKER INDUSTRIAL";EMSESA;MANGUERAS HIDRAULICAS;FLEXIBLES
158080;FLEXIBLE EMSESA F302060604040432;FLEXIBLES OEM;"	PARKER INDUSTRIAL";EMSESA;MANGUERAS HIDRAULICAS;FLEXIBLES
158081;FLEXIBLE EMSESA F302063910101030;FLEXIBLES OEM;"	PARKER INDUSTRIAL";EMSESA;MANGUERAS HIDRAULICAS;FLEXIBLES
158082;FLEXIBLE EMSESA F302063916161661;FLEXIBLES OEM;"	PARKER INDUSTRIAL";EMSESA;MANGUERAS HIDRAULICAS;FLEXIBLES
158083;FLEXIBLE EMSESA F797A66N323232185;FLEXIBLES OEM;"	PARKER INDUSTRIAL";EMSESA;MANGUERAS HIDRAULICAS;FLEXIBLES
158084;FLEXIBLE EMSESA F302063920202047;FLEXIBLES OEM;"	PARKER INDUSTRIAL";EMSESA;MANGUERAS HIDRAULICAS;FLEXIBLES
158087;FLEXIBLE EMSESA F302063916161649;FLEXIBLES OEM;"	PARKER INDUSTRIAL";EMSESA;MANGUERAS HIDRAULICAS;FLEXIBLES
158088;FLEXIBLE EMSESA F302063916161630;FLEXIBLES OEM;"	PARKER INDUSTRIAL";EMSESA;MANGUERAS HIDRAULICAS;FLEXIBLES
158089;FLEXIBLE EMSESA F302063904040435;FLEXIBLES OEM;"	PARKER INDUSTRIAL";EMSESA;MANGUERAS HIDRAULICAS;FLEXIBLES
158090;FLEXIBLE EMSESA F302060608080898;FLEXIBLES OEM;"	PARKER INDUSTRIAL";EMSESA;MANGUERAS HIDRAULICAS;FLEXIBLES
158091;FLEXIBLE EMSESA F302063916161628;FLEXIBLES OEM;"	PARKER INDUSTRIAL";EMSESA;MANGUERAS HIDRAULICAS;FLEXIBLES
158092;FLEXIBLE EMSESA F302063916161659;FLEXIBLES OEM;"	PARKER INDUSTRIAL";EMSESA;MANGUERAS HIDRAULICAS;FLEXIBLES
158093;FLEXIBLE EMSESA F302060604040439;FLEXIBLES OEM;"	PARKER INDUSTRIAL";EMSESA;MANGUERAS HIDRAULICAS;FLEXIBLES
158094;FLEXIBLE EMSESA P421SNCACE15158-650-0;FLEXIBLES OEM;"	PARKER INDUSTRIAL";EMSESA;MANGUERAS HIDRAULICAS;FLEXIBLES
158095;FLEXIBLE EMSESA P301SNCACA222212-1450-0;FLEXIBLES OEM;"	PARKER INDUSTRIAL";EMSESA;MANGUERAS HIDRAULICAS;FLEXIBLES
158096;FLEXIBLE EMSESA P301SN19D2122010-750-0;FLEXIBLES OEM;"	PARKER INDUSTRIAL";EMSESA;MANGUERAS HIDRAULICAS;FLEXIBLES
158097;FLEXIBLE EMSESA P301SNCACF12126-1700-0-H;FLEXIBLES OEM;"	PARKER INDUSTRIAL";EMSESA;MANGUERAS HIDRAULICAS;FLEXIBLES
158098;FLEXIBLE EMSESA P301SN0606121212-1700-0;FLEXIBLES OEM;"	PARKER INDUSTRIAL";EMSESA;MANGUERAS HIDRAULICAS;FLEXIBLES
158099;FLEXIBLE EMSESA P301SN0606121212-900-0;FLEXIBLES OEM;"	PARKER INDUSTRIAL";EMSESA;MANGUERAS HIDRAULICAS;FLEXIBLES
158100;FLEXIBLE EMSESA P301SN0606121612-900-0;FLEXIBLES OEM;"	PARKER INDUSTRIAL";EMSESA;MANGUERAS HIDRAULICAS;FLEXIBLES
158101;FLEXIBLE EMSESA F797TC0606161616-1600-0;FLEXIBLES OEM;"	PARKER INDUSTRIAL";EMSESA;MANGUERAS HIDRAULICAS;FLEXIBLES
158102;FLEXIBLE EMSESA F797TC1506161616-1000-0;FLEXIBLES OEM;"	PARKER INDUSTRIAL";EMSESA;MANGUERAS HIDRAULICAS;FLEXIBLES
158103;FLEXIBLE EMSESA P301SN0606121210-1000-0;FLEXIBLES OEM;"	PARKER INDUSTRIAL";EMSESA;MANGUERAS HIDRAULICAS;FLEXIBLES
158104;FLEXIBLE EMSESA P301SN0606121210-1800-0;FLEXIBLES OEM;"	PARKER INDUSTRIAL";EMSESA;MANGUERAS HIDRAULICAS;FLEXIBLES
158105;FLEXIBLE EMSESA P301SN0606121210-800-0;FLEXIBLES OEM;"	PARKER INDUSTRIAL";EMSESA;MANGUERAS HIDRAULICAS;FLEXIBLES
158106;FLEXIBLE EMSESA P421SN0606121212-415-0;FLEXIBLES OEM;"	PARKER INDUSTRIAL";EMSESA;MANGUERAS HIDRAULICAS;FLEXIBLES
158107;FLEXIBLE EMSESA P301SN0606161616-2200-0;FLEXIBLES OEM;"	PARKER INDUSTRIAL";EMSESA;MANGUERAS HIDRAULICAS;FLEXIBLES
158108;FLEXIBLE EMSESA P301SN0637121210-1000-0;FLEXIBLES OEM;"	PARKER INDUSTRIAL";EMSESA;MANGUERAS HIDRAULICAS;FLEXIBLES
158109;FLEXIBLE EMSESA P301SN0639161616-1000-0;FLEXIBLES OEM;"	PARKER INDUSTRIAL";EMSESA;MANGUERAS HIDRAULICAS;FLEXIBLES
158114;FLEXIBLE EMSESA P421SN0606161616-700-0;FLEXIBLES OEM;"	PARKER INDUSTRIAL";EMSESA;MANGUERAS HIDRAULICAS;FLEXIBLES
158115;FLEXIBLE EMSESA P421SN0639121212-700-0;FLEXIBLES OEM;"	PARKER INDUSTRIAL";EMSESA;MANGUERAS HIDRAULICAS;FLEXIBLES
158116;FLEXIBLE EMSESA P421SN0639121212-900-0;FLEXIBLES OEM;"	PARKER INDUSTRIAL";EMSESA;MANGUERAS HIDRAULICAS;FLEXIBLES
158117;FLEXIBLE EMSESA P421SN0639161616-1000-0;FLEXIBLES OEM;"	PARKER INDUSTRIAL";EMSESA;MANGUERAS HIDRAULICAS;FLEXIBLES
158120;FLEXIBLE EMSESA P301SN6868666-1100-0-HG9;FLEXIBLES OEM;"	PARKER INDUSTRIAL";EMSESA;MANGUERAS HIDRAULICAS;FLEXIBLES
158121;FLEXIBLE EMSESA P301SN6868666-1200-0-HG1;FLEXIBLES OEM;"	PARKER INDUSTRIAL";EMSESA;MANGUERAS HIDRAULICAS;FLEXIBLES
158122;FLEXIBLE EMSESA P301SN6868666-1400-0-HG1;FLEXIBLES OEM;"	PARKER INDUSTRIAL";EMSESA;MANGUERAS HIDRAULICAS;FLEXIBLES
158123;FLEXIBLE EMSESA P301SN6868886-1300-0;FLEXIBLES OEM;"	PARKER INDUSTRIAL";EMSESA;MANGUERAS HIDRAULICAS;FLEXIBLES
158124;FLEXIBLE EMSESA P421SN0606121212-320-0;FLEXIBLES OEM;"	PARKER INDUSTRIAL";EMSESA;MANGUERAS HIDRAULICAS;FLEXIBLES
158125;FLEXIBLE EMSESA P301SN1CCA202210-1100;FLEXIBLES OEM;"	PARKER INDUSTRIAL";EMSESA;MANGUERAS HIDRAULICAS;FLEXIBLES
158126;FLEXIBLE EMSESA F701TCC9C9303016-1200;FLEXIBLES OEM;"	PARKER INDUSTRIAL";EMSESA;MANGUERAS HIDRAULICAS;FLEXIBLES
158127;FLEXIBLE EMSESA P301SNC9C9884-1140;FLEXIBLES OEM;"	PARKER INDUSTRIAL";EMSESA;MANGUERAS HIDRAULICAS;FLEXIBLES
158128;FLEXIBLE EMSESA P301SNC9C9884-580;FLEXIBLES OEM;"	PARKER INDUSTRIAL";EMSESA;MANGUERAS HIDRAULICAS;FLEXIBLES
158129;FLEXIBLE EMSESA P301SNC9C9884-700;FLEXIBLES OEM;"	PARKER INDUSTRIAL";EMSESA;MANGUERAS HIDRAULICAS;FLEXIBLES
158130;FLEXIBLE EMSESA P301SNC9C9202010-1100;FLEXIBLES OEM;"	PARKER INDUSTRIAL";EMSESA;MANGUERAS HIDRAULICAS;FLEXIBLES
158131;FLEXIBLE EMSESA F701TCC9C9303016-1700;FLEXIBLES OEM;"	PARKER INDUSTRIAL";EMSESA;MANGUERAS HIDRAULICAS;FLEXIBLES
158132;FLEXIBLE EMSESA F701TCC9C9303016-960;FLEXIBLES OEM;"	PARKER INDUSTRIAL";EMSESA;MANGUERAS HIDRAULICAS;FLEXIBLES
158133;FLEXIBLE EMSESA P301SNC9C916168-1130-0;FLEXIBLES OEM;"	PARKER INDUSTRIAL";EMSESA;MANGUERAS HIDRAULICAS;FLEXIBLES
158134;FLEXIBLE EMSESA P301SN0606121210-1200-0;FLEXIBLES OEM;"	PARKER INDUSTRIAL";EMSESA;MANGUERAS HIDRAULICAS;FLEXIBLES
158136;FLEXIBLE EMSESA P301SNC90C202010-870-0;FLEXIBLES OEM;"	PARKER INDUSTRIAL";EMSESA;MANGUERAS HIDRAULICAS;FLEXIBLES
158137;FLEXIBLE EMSESA P301SNC91C12126-470-0;FLEXIBLES OEM;"	PARKER INDUSTRIAL";EMSESA;MANGUERAS HIDRAULICAS;FLEXIBLES
158138;FLEXIBLE EMSESA P301SNCACA222212-1100-0;FLEXIBLES OEM;"	PARKER INDUSTRIAL";EMSESA;MANGUERAS HIDRAULICAS;FLEXIBLES
158140;FLEXIBLE EMSESA F797TC6A6N323232-1200-0;FLEXIBLES OEM;"	PARKER INDUSTRIAL";EMSESA;MANGUERAS HIDRAULICAS;FLEXIBLES
158143;FLEXIBLE EMSESA P301SNC91C884-1600-0;FLEXIBLES OEM;"	PARKER INDUSTRIAL";EMSESA;MANGUERAS HIDRAULICAS;FLEXIBLES
158144;FLEXIBLE EMSESA P301SNCACA10104-550-0;FLEXIBLES OEM;"	PARKER INDUSTRIAL";EMSESA;MANGUERAS HIDRAULICAS;FLEXIBLES
158147; FILTRO REGULADOR 07E36A16AC PARKER;FILTROS FRL;"	FILTRACION";EMSESA;;
